标题,地点,工作概要,所需人才
ネットワークエンジニア/未経験可,愛知県名古屋市熱田区techMASTER株式会社,仕事内容:━━━━━━━━━━━━━━━━タイピングができない？プログラミングって何？『やったことない、分からない』でも大丈夫！弊社は異業種・異業界の方でも活躍しています！例えば…？飲食業・美容師・営業・製造などなど□★抜群の研修制度でIT業界デビューを目指そう！「興味はあるけど、経験がないから不安…」そんなあなたを大歓迎！学歴・職歴・スキル、一切不問です！━━━━━━━━━━━━━━━━未経験者を手厚くサポートします//【STEP1】まずは研修から始めましょう！・タイピング研修・IT業界基礎研修「ITって何？」「言語って」という基礎から丁寧に解説！【STEP2】基礎スキル習得研修！・言語研修やネットワーク・サーバー研修を行います。一流のスキルを身につけましょう！現役エンジニアの専任講師がわかりやすく教えてくれますので、ご安心ください！・Java、JavaScript、PHP研修・C、C++、C♯研修・Ruby、Swift、Python研修・CCNA、LinuxLPIC研修【STEP3】OJTを通して着実にスキルアップ！研修後は、先輩と一緒に案件へ♪早速研修の内容を活かして、エンジニアデビュー！同じ未経験からデビューした先輩エンジニアと分からないことを一緒に解決していきましょう！,求める人材:【求める人物像】高校卒以上/未経験OK・未経験OK（人柄重視）※フリーターの方も大歓迎！
未経験者向け研修あり!システムエンジニア,東京都目黒区下目黒株式会社LIM,仕事内容:【仕事内容】◎未経験スタートを全力サポート◎◆◇意欲が採用のカギ◇◆技術よりも「やってみたい」という気持ちを重視。ゼロから挑戦したい方を歓迎します。▽▼多彩な経歴の先輩たち▼▽営業職・事務・接客業・整体師など、異業種から飛び込んだ仲間が多数活躍中！◎第二新卒・既卒・ブランクありも大丈夫◎「もう一度、新しく始めたい」そんな方にぴったりの環境があります。━━━━━━━━━━━━━━━【研修から実務へのステップ】━━━━━━━━━━━━━━━◆最初は基礎からスタート◆未経験者向けの研修プログラムを用意しているため、知識ゼロでも安心して取り組めます。▼STEP1：基本操作とタイピング練習パソコンの使い方に不安がある方もOK。入力練習から丁寧にレクチャーします。▼STEP2：プログラミングの入門講座Javaを中心に、コードの書き方や仕組みを学習。現場経験のある講師が一つひとつ指導します。▼STEP3：Webシステム開発の実践演習教材を使いながら、実際の開発プロセスを体験。わからないところはその場で解消できる環境です。▼STEP4：テスト工程まで一通り習得開発したシステムのテストも自分で行い、品質チェックの技術も身につけます。◆配属後も手厚いサポートを継続◆専任のエンジニアが日常業務をしっかりサポート。「わからない」が放置されることはありません。◆仲間と学べる風土も魅力◆月に1度の社内ミーティングや、勉強会などを開催。交流を深めながら、一緒にステップアップできます。,求める人材:【求める人物像】□□高卒以上/IT業界未経験歓迎□□未経験OK※第二新卒・フリーターの方も大歓迎！アピールポイント□□自慢のサポート体制！「挫折させない」徹底サポートあり！
社内システムエンジニア,東京都台東区根岸東京都台東区根岸2-19-19医療法人社団せいおう会,募集要項職種社内システムエンジニア雇用形態正社員仕事内容社内システムの運用・保守新規システムの導入・設計・開発ネットワークの設計・構築・管理社内ユーザーからの問い合わせ対応セキュリティ対策の実施・管理,資格・経験＜必須スキル＞下記３つのうち、最低でもいずれかひとつ1.クラウドサービス「Web、アプリ、オープン系」の開発経験3年以上2.業務アプリ「.NET/SQLServer」設計、開発経験3年以上3.システム基盤(サーバ・ネットワーク)の構築・運用経験3年以上＜歓迎スキル＞・ネットワークの設計、構築、運用経験・セキュリティに関する知見
ゲーム・アプリ開発　【未経験】”完全人柄採用”,東京都品川区北品川駅株式会社Education,"仕事内容:〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【給与】月給24〜30万円※経験とスキルに応じて決定致します。●平均想定年収例：330〜380万円〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【勤務時間】10:00〜19:00(実働8h)※サービス残業は一切無し！〇案件(配属)によってはリモートワークも可能〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【休日休暇】完全週休2日制年間休日120日以上祝日、慶弔休暇、年末年始、夏季休暇〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【福利厚生】〇賞与年2回（夏／冬)〇昇給有〇社会保険完備〇交通費支給〇社保完備〇育児・介護休暇(実績あり)〇看護休暇(実績あり)〇資格取得支援・手当あり※研修3か月（月給22万円〜）〇寮・社宅・住宅手当有└(引っ越し補助)※規定はありますがまずはご相談ください。〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【応募資格】〇高校卒業以上〇未経験歓迎└人柄重視の採用です！〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【仕事内容】ゲームや、サーバーに興味がある方必見！まずは研修を通して「あなたの希望に合うお仕事」を一緒に考えていきましょう！【具体的に触れる内容は？】・テスト業務・コーディング・開発、設計業務・ゲーム、アプリ開発等お任せするお仕事は多岐にわたりますが一通りの知識を研修で、身に着けられることが出来ます。ポテンシャル採用なので、これまでの実務経験は問いません。実践を通して、経験値を積んでください！〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【こんな方にピッタリ】・需要の高い仕事を始めたい方・未経験のシステムの分野にも興味を持って取り組める方・学び続ける意欲がある方・IT業界に関心がある方・未経験からエンジニアに挑戦したい意欲がある方〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【研修制度】まずは入社後に約1か月程度のエンジニア研修を受けていただき、研修後はスキルに合わせてプロジェクトに配属となります。【こんな方が活躍中】〇20代〜30代活躍中〇ITエンジニア未経験〇プログラマー未経験〇ゲーム未経験〇ネットワークエンジニア〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【会社概要】●社名：株式会社Education（エデュケーション）●住所：〒153-0064東京都目黒区下目黒２丁目２３−２９PASEO目黒102〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【スタッフインタビュー】福利厚生や、働きやすさを意識して仕事探しをしていました。上京するにあたっての引っ越し手当や勤務時間も時差出勤を選択することが出来たので自分らしく働くことが出来ています！元々、パソコンゲームが趣味だったのでコツコツ黙々と仕事を覚えることできます。先輩が1から教えてくれるので、分からないことはいつでも、何でも聞ける環境です◎（男性・20代／前職：サービス業）〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【応募方法】[Indeedからの応募…簡単応募ボタンをClick！］〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【その他】※オンライン面接可/ご質問だけでも◎その他、全国各地に募集が有りますのでご案内可能。※転勤の可能性もありますが勤務地は出来る限り考慮します！〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【応募後の流れ】[STEP1]応募｢Indeed簡単応募｣で応募を確認後､こちらから折返しのご連絡をいたします｡[STEP4]面接WEB面接可能◎リラックスしてお話ししましょう！学歴や志望動機だけでなく､ぜひ""あなた""を見せてくださいね｡[STEP]内定これからよろしくお願いします！※入社日･勤務開始日のご相談も随時承ります。", 
【経験者/未経験者採用】プログラマー・システムエンジニア,東京都千代田区神田神保町株式会社イーグロース,仕事内容:【仕事内容】さまざまな業界向けシステム開発やアプリ開発など多岐にわたり案件を用意しています！JAVA、PHP、C、Javascript、Rubyなど、あなたの使える言語でを決めていお仕事先を決めていきます。お客様は、官公庁や旅行系、物流、建築など、取引のある業界は多数！あなたの経験や興味のある業界をお伺いしています！『要件定義』などの“上流□程”から担当する案件も！幅広い実践経験を積みながら、スキルやキャリアをさらに伸ばしていける環境を用意しています。＜エンジニアとして成長できる環境があります！＞学生時代のプログラミングのご経験がある方第二新卒などの駆け出しエンジニアさんエンジニアとしてキャリアアップしたい方など若手エンジニアを応援します！研修制度・サポート体制もバッチリです！大手企業とのパートナーシップを築き、DX、リスキリング、AIなど、進化し続けるIT環境をサポートしています。【未経験者向け研修期間中の流れ】9時30分･･･朝礼(タスク確認）、座学の準備10時30分･･･講師による座学（Java)12時30分･･･昼食休憩13時30分･･･講師による座学続き（Java)14時30分･･･OJT（動作テストなどへの参加）18時30分･･･退社※研修期間終了後はクライアントのプロジェクトへ参画//////////////////////////////////////////////////////////////////////////////////////【株式会社イーグロースとは？】（https://www.egrowth-inc.com/hp/）現役のセキュリティエンジニアが代表を務めるIT会社です。業界の5％程度しかいないとされる貴重なセキュリティエンジニアが多く存在する企業となっています。元請けの立ち位置として、参画するケースも多いため、PMやPLの位置としての参画や、0⇒1にするような仕事もあります。海外展開も視野に入れているため、海外でエンジニアとして活躍したい方など、夢をかなえるための最短距離を目指すことが可能です！/////////////////////////////////////////////////////////////////////////////////////////,"求める人材:【歓迎要件】・24・25新卒、第二新卒歓迎（既卒歓迎）・業界未経験OK・学歴不問（高卒OK）・好奇心旺盛で興味があることを深堀りできる方・ゼロから自分でロジックを立てて物事を進められる方・JavaのBronzeまたはSilver取得者歓迎・駆け出しエンジニア・前職エンジニア・プログラマーの方・ブランクある方も歓迎・ハローワークでお仕事お探し中の方も歓迎・外国籍の方も活躍できる環境が整っています。※業務には日本語の理解が必要なため、日本語能力試験（N1）以上の資格を持ち、英語が話せる方を歓迎します。※SincethejobrequiresanunderstandingofJapanese,wewelcomecandidateswhohaveaJapanese-LanguageProficiencyTest(JLPT)N1orhigherqualificationandcanspeakEnglish.【以下のような方にもおすすめです！】・情報感度の高い方/WEB3.0に興味がある方・コーディングやプログラミングに興味がある方・Javascript、Node.js、CMS、HTML、CSSなどに興味がある方・将来的にSE(システムエンジニア)になりたい方・ITエンジニア、バックエンドエンジニア、フロントエンドエンジニアに興味がある方・IT業界未経験でもコミュニケーション能力を活かして仕事を進められる方・ITコンサルタント、PM、PLなどに興味がある方・元々ゲームプログラマーやweb制作、WEBアプリケーションに興味があった方・SalesforceやAWSに対して関心ある方やってみたい理由は人それぞれなので、そこにあなたの熱意があれば、弊社はあなたのキャリアの道を全力で応援します！"
社内SE　自社業務システムに関する開発業務,東京都文京区小石川１４−１２共同印刷本社,仕事内容〇社内SEとして自社の業務システムの開発業務を行っていただきます。開発の上流から下流まで自身の経験や知識、興味に合わせ幅広く担当するポジションです。具体的には、・新規システム開発の要件定義・設計・自社開発時の設計・開発・テスト・社外開発時のベンダーとの折衝・製造部門で導入する他社ツールとの連携機能開発・社内業務を効率化するためのサービスの導入・社内業務システム保守など〇実施プロジェクトの例・見積受注システムの開発（VB.NET/WindowsForms）・ワークフローシステムの再構築（C#/ASP.net)・製造工程向けシステムの再構築（C#/ASP.netCoreMVC/SVF）〇仕事のやりがいについて・クライアントかつエンドユーザである社員から直接要望をヒアリングし、ユーザの業務効率化に最大限貢献できるようなシステムの提案・設計を行うことができます。・開発工程では、外部SIerに依頼するだけでなく、自社開発を行うこともありますので、プログラミングの知識を深めることもできます。〇諸手当も充実、プライベートも大切に年間休日は127日。オンとオフをしっかり分けて働ける職場です通勤交通費・家族手当・退職金制度他、各種施設の優待利用ができる総合福利厚生サービスも設けており、安心して働いていただけます〇総合印刷会社として、お客様のあらゆるニーズにお応えしております印刷事業を核に、IC事業の推進、ビジネスフォーム事業、出版事業、プロモーション事業、パッケージ事業など幅広く展開しています「価値創造・成長・挑戦」することを忘れず、お客様に品質の高いサービスを提供しています2022年４月に新社屋が完成し、新しいオフィスで仕事ができます,"資格""大学卒業以上"",""大学院卒業以上"",""経験者歓迎"""
システム開発ITエンジニア(未経験者/若手),東京都台東区東上野1丁目9番地6号ウエノＵ−ＰＡＬビル２Ｆ株式会社アイ・ピー・シー,仕事内容:当社は創業51年目ですが、古臭い価値観など一切もたず常に時代にあった組織体質を心がけていますプロジェクトのメンバーとして先輩社員と一緒にシステム開発を行っていただきます。勤務場所は携わる業務によって社内・テレワーク勤務や客先常駐（23区内）があります。現在、約8割の社員がテレワーク勤務です。※入社1年以内は客先常駐はありません。【仕事内容】企業様向けのシステム開発が主な業務です。新規開発や機能追加などがあり、その開発規模は1ヵ月で終わるものもあれば1年以上かかるものもあります。依頼内容によって使用するプログラム言語も様々ですが、一気に全ての言語スキルを習得する必要はありません。開発業務に必要な言語を段階的に覚えていき、経験を積んでいくうちに複数のプログラミング言語を扱えるスキルが身についているようになります。,求める人材:《必須条件》*責任を持って最後まで前向きに業務に取り組める方*協調性がありコミュニケーション良好な方*自宅にインターネット接続環境がある方*車・バイク通勤不可《こんな方歓迎》*IT業界未経験だけどチャレンジしてみたい*落ち着いた静かな職場でプログラム技術を習得したい*システム開発のスキルを身に付けたい
システムエンジニア,東京都世田谷区経堂4-16-14シャルム千歳301合同会社DEMAGEMENT,仕事内容:ー・ー・ー・ー・ー・ー・ー・ー・ー・ー・ー・未経験スタート可能！システムエンジニア募集社会人デビューや社会人経験が浅い方も大歓迎◎IT知識を始め、ビジネスマナーから学べます♪ー・ー・ー・ー・ー・ー・ー・ー・ー・ー・ー・Webアプリシステムの運用保守、データ入力等企業へ提供するシステムの開発・制作・構築をお任せします。【具体的には】■システム制作、データ入出力■アプリのアップデート対応■インフラの運用構築、保守■サービス作成・修正■不具合の修正対応（単体・結合テストの際のエラー確認）■システム環境管理、モニター監視（エラーが起きた際の緊急対応）などHP制作やアプリ開発にも携われます！手厚い研修制度やOJTにてお教えするので「未経験で心配…」そんな方もご安心を。入社してすぐに全てをお任せすることはありません。周りのメンバーにも質問がしやすい環境！わからないことなど、気軽に質問してくださいね♪,求める人材:【必須】高卒以上【こんな方にピッタリ】■IT業界にチャレンジしたい■ITの知識を身に付けたい■PC操作などに詳しくなりたい■システム開発ができるようになりたい■自分の時間を大事に働きたい■研修制度の整った会社で働きたい※未経験歓迎、社会人デビュー歓迎※第二新卒歓迎、U・Iターン歓迎※フリーター歓迎（20代、30代活躍中）※転勤なし、全国どこからでも応募可能【メンバーの前職例】■不動産営業、法人営業■事務、経理、コールセンタースタッフ■アパレル、雑貨屋など接客販売■ゲーム開発、アプリ開発■Web制作、Webデザイナー■カフェ、居酒屋、レストラン、ファミレスなどの飲食店スタッフなどほとんどが未経験入社！今までは派遣やアルバイトで働いていたけど、「正社員で安定したい」「スキルを身につけたい」なんて方も多数！応募時にITの知識・経験は必要ありません◎もちろん経験者の方も歓迎！経験を活かして即戦力としてご活躍いただけます♪
システム開発メインのプログラマー,〒100-0006東京都千代田区有楽町〒100-0006東京都千代田区有楽町1-7-1有楽町電気ビルヂング北館6階610区株式会社アブストラクト,仕事内容――――――――――――――□□【求人のポイント】■基本的に定時退社◎■週4〜5日のリモートワーク■年休126日＆土日祝休み■あなたが希望する案件をお任せ■有給消化奨励中で休みやすい！■定着率90％以上！腰を据えて長く働けます□□――――――――――――――【仕事内容】企業の基幹業務システムの開発、保守をお願いします！ほか、自社パッケージの機能拡張にともなう社内開発作業を担当することも。web系やオープン系を中心に請け負います。【開発環境】言語：VB□Net／C#□Net／ASP□Net／Java／PHPDB：Oracle／MySQL／SQLServer【開発実績例】■生命保険・損害保険のシステム全般■銀行各種の新金融システム■公共の人事システム■産業の生産管理システム,必要資格・経験【必須】業界経験2年以上【歓迎】ＡＷＳ関連の認定資格保有者
Webプログラマー/未経験からスタート可,神奈川県川崎市川崎区田辺新田２丁目７番１７号株式会社LIM,仕事内容:【仕事内容】▼【おすすめポイント】◇未経験からエンジニアデビューできる！◇基礎からしっかり学べる研修制度あり！◇仲間と一緒に楽しく成長できる環境！ーーーーーーーーーーーーーーーーーーーーーーー【仕事内容】システム・アプリ開発などのITエンジニア業務を担当！入社後は基礎研修からスタートするので、未経験の方でも安心して学べます◎◎【安心のサポート体制】◆入社後すぐに技術研修を実施！◆メンター制度＆1on1面談あり！◆チームで成長できる環境！「初めてだから不安…」という方も、イチからしっかり学べるので安心してください！▼【具体的な業務内容】◇プログラミング・設計・開発◇テスト・運用・保守業務など未経験でも着実にスキルアップできます◎▼【プロジェクト例】◆大手企業向けシステム開発◆Webサービス・アプリ開発◆スマホ向けサービス開発など幅広い分野にチャレンジできる環境！▼【開発環境】◇使用言語：Java、C#、Python、PHP、JavaScript、Swift、Goなど◇開発環境：AWS、iOS、Android、RubyonRailsなどーーーーーーーーーーーーーーーーーーーーーーー,求める人材:【求める人物像】＼未経験OK！学歴・経験不問！／★フリーター・第二新卒歓迎！★IT業界未経験から挑戦したい方歓迎！▼こんな方にオススメ！◎ITエンジニアになりたい◎将来性のあるIT業界で成長したい◎資格やスキルを身につけて高収入を目指したい◎手に職をつけたい★【活躍中の先輩たちも8割が未経験スタート！】接客業、事務職、営業職など、異業種からの転職多数！「キャリアアップしたい！」という思いがあればOK！＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝◆経験者ももちろん歓迎！◆JavaSilverなどの有資格者歓迎！＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
システム開発のプログラマー,東京都新宿区歌舞伎町明治通りビル804号室ホーリー情報システム株式会社,"仕事内容＼PCスキル不要！ゼロから指導します／未経験からプログラミングの基本を学べる丁寧な研修制度をご用意！分からないことはすぐに聞けるので未経験からの挑戦もご安心ください。◆未経験者が活躍中◆「ITに興味がある」という方もOK！とび職などの完全異業界から転職して活躍している先輩もいます。＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝【仕事内容】始めは設計書通りに入力していくなどの簡単なプログラミングからお任せします。慣れてきたら、クライアントの要望に合わせてシステムを一から考えて設計書を作成するシステムエンジニアの業務にも少しずつ携わっていきます。不安なこと・わからないことがあったら、まわりの先輩スタッフに気軽に質問・相談できる環境あり。PCスキルと資格取得も応援しますので、安心して新しいチャレンジができますよ。＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝〜採用担当より〜「プログラマー」「システムエンジニア」と聞くと、難しく感じるかもしれませんが、実は全然そんなことはありません！例えばプログラマーの仕事は料理人に似ていて、与えられたレシピ(設計書)に沿って料理(プログラミング)をしていくだけ！もちろん最初は料理でいうところの包丁の握り方(PC操作方法)や食材の種類(プログラミング言語)から研修しますので、安心してください！※20代多数初心者活躍中,デスクワーク,力仕事が少ない,知識、経験豊富",求めている人材◎未経験スタート大歓迎！◎PCスキルの無い方もOK！◆30歳以下の方（※例外事由3号のイ長期勤続によるキャリア形成のため）◆高卒以上◆留学生の方は日本語検定1級以上必須◆日本語でコミュニケーションが取れる方未経験入社の20代社員が多数活躍中！なかには、とび職から転職し、活躍されている方もいます。
未経験が9割/ゲーム開発エンジニア/手厚い研修制度あり!,福岡県福岡市(株)Genienavi,仕事内容:【未経験からITエンジニアへ！あなたの可能性を広げませんか？】IT業界に興味はあるけれど、未経験だからと一歩踏み出せない...そんなあなたへ。当社では、ITの基礎知識から丁寧に指導する充実した研修をご用意しています。経験豊富な先輩社員が、あなたの成長を全力でサポートします。具体的には、Webシステム開発、インフラ構築、ヘルプデスク、ITサポート事務など、幅広い分野の仕事に携わることができます。最先端の技術に触れながら、あなたのスキルを磨き、成長できる環境です。「ゲームアプリを作ってみたい」「AIに興味がある」など、あなたに合ったプロジェクトを選べるのも魅力の一つです。3000件以上のプロジェクトの中から、あなたの興味関心に合ったプロジェクトに参加し、実務経験を積むことができます。**「でも、いきなり専門的な仕事は不安…」**そんな方もご安心ください。入社後は、経験豊富なメンターが一人ひとりにつき、あなたのキャリアを丁寧にサポートします。「インフラからWeb開発にキャリアチェンジしたい」など、あなたの希望に合わせて、最適なキャリアパスを一緒に考えていきます。未経験からスタートした先輩社員が多数在籍しています。みんな最初は初心者でしたが、研修や経験を積んで、今や一人前のエンジニアとして活躍しています。あなたも、先輩社員のサポートを受けながら、着実に成長することができます。当社が良い理由*成長できる環境:豊富なプロジェクトと充実した研修制度で、あなたのスキルアップをサポートします。*多様なキャリアパス:あなたの興味関心やスキルに合わせて、様々なキャリアパスを選択できます。*働きやすい環境:フレックスタイム制やリモートワークなど、働きやすい制度も充実しています。IT業界で活躍したい方、新しいことに挑戦したい方、ぜひ当社にご応募ください。一緒に未来を創りましょう！,求める人材:【必須要件/応募条件】高校卒以上/未経験OK・未経験OK（人柄重視）※フリーターの方も大歓迎！現在のご経験やご経歴は一切問いません。
WEBエンジニア,東京都台東区東上野3-8-7矢口ビル4階C株式会社アイ・ディ・エイチ,"仕事内容WEBエンジニア（正社員）募集中！◆前給保証◆年間休暇取得日138日◆土日祝休み◆フルリモート・完全在宅勤務可＜IDHの特徴＞・エンジニアの要望を100％叶えるアサイン。会社都合でのアサイン一切なし！・常時案件500件以上（プライム比率75％）・前給保証（昨年入社の102名全員が年収100万円超UP！）・案件単価の83％を一律還元（社員の平均年収650万円）・月平均残業時間10時間程度・社員の75％以上がリモートワーク中・年間平均休暇日数138日・創業より定着率98％を維持（平均年齢36.2才）・副業OK・スキルアップ支援制度（英会話・勉強会・外部研修）・転居を伴う転勤なし＜業務内容＞常時500件以上あるWeb開発、Web制作さまざまな案件の中から、「あなたがやりたい開発、挑戦したい案件」を担当していただきます。＜勤務地＞プロジェクトにより勤務地は相談可能です！お気軽にご相談ください。<案件の特徴>金融・通信・流通・製造・医療・ゲームなど、幅広い業界のお客様と取引を行なっています。最上流工程から保守開発までさまざまな案件があるため、自分のスキルに合った案件を選べます。案件数は、常時500件以上。パッケージ導入、企画構築、推進支援等ほぼ全てのITコンサル案件に対応。会社都合で案件をアサインすることもなく、希望に合わないときはプロジェクト途中での変更も可能。エンジニアが誰もやりたくない、という案件は断るようにしています。＜案件イメージ＞・MDMサービス開発（Ruby,AWS,Github,Atlassian）・クラウド型動画コンテンツ配信システムの開発（LAMP※一部AWS,Redis、Memcached）・スマホで遊べるくじ＆クレーンゲームのサーバーサイド開発（PHP,JavaScript,MySQL,AWS）・アパレル系ECサイト開発(PHP)・BtoB向け顧客情報分析システム開発（PHP,React.js,Apache,MySQL,AWS）・流通業における通販Webシステム開発（Java,Oracle,Eclipse）・家庭用ゲーム機用ネットワークサービスWebアプリ開発（Java,JavaScript,AWS）★利益を社員に還元する社風！制度充実！「エンジニアにとって大切なのは技術を発揮して活躍することであり、社内の管理業務等で時間を取られるべきではない」という考えから無駄な管理職を設けていません（421名中5名）。また、帰社日や週報日報等の無駄な社内業務や事務作業も排除。フルリモートワークも可能なため、自宅だけでなく全国好きな場所から勤務する等、働き方も様々です。一方で社内のフォローアップ体制は万全。専任のコーディネーターが現場でのお困りごとを迅速に解決、キャリアアップに向けてのご相談も随時行っています。",求めている人材◎学歴不問◎分野を問わずWEBシステム開発・運用経験が3年以上ある方・東京、首都圏の案件多数！・フルリモートも可能！・Java、JavaScript、PHP、GO言語の経験がある方も大歓迎！※平均年齢36.2才★下記にひとつでも当てはまる方は大歓迎！・自分で開発案件を選びたい方。やりたい案件が決まっている方・自分が好きな言語・業界・技術を選んで開発の仕事をしたい方・会社のためよりお客様のために開発をしたい方・開発以外の雑務に時間を持って行かれたくない方・実力に応じた給与が欲しい方・プライベートも充実させたい方
映像ソリューションビジネスを創出する情報系エンジニア,東京都大田区下丸子３丁目３０−２キヤノン株式会社本社,仕事内容＜ポイント＞・プロフェッショナル向けの映像制作機器、及びセキュリティ監視機器のファームウェアやPCアプリケーション・ソフトウェアを開発する業務です。・イメージング技術をベースとして顧客ソリューション・ビジネスの創出に一緒に取り組んでくれる方、協調性をもってチームワークを大切にされる方、明るく意欲的な方の応募をお待ちしています。・専門技術研修、OJTトレーニング、特許提案スキル、プロジェクトマネジメントスキル等、充実した社内外の研修プログラムであなたのキャリアアップを支援します。＜具体的には＞プロフェッショナル向け映像制作機器やセキュリティ監視用途ソリューション機器のファームウェア、PCアプリケーション・ソフトウェアやクラウドシステム等の開発を行います。商品コンセプトに基づいて、仕様策定、システムフィジビリティ検討、コーディング、デバッグ検証を行います。システムを構成するユニットモジュールとして、撮像センサ、光学レンズ系制御、映像エンジン（プラットフォーム）、ネットワーク（Ethernet/無線LAN）、表示デバイス等があり、これらのデバイスのコントロール技術を含みます。また関連するアプリケーションソフト、クラウドシステムの開発を担います。＜プロジェクト例＞新規要素技術、プラットフォーム技術、開発基盤技術といった製品横断の共通技術軸と、各事業領域の製品開発を担う製品軸、この二軸を連動する体制で開発に取り組んでいます。共通技術軸としては、撮像センサ技術、認識技術、ネットワーク技術、シミュレーション技術があり、一方の製品軸には映像制作機器、セキュリティ監視機器、次世代ソリューション機器等などの製品群があります。二軸連動させることで顧客要望に即応できるタイムリーな製品開発から、中長期的な新規要素技術開発まで広範囲に取り組んでいます。＜キャリアイメージ＞最初の数年は、要素技術検討や製品開発業務など、専門知識や技術の習得と開発プロセスの理解に取り組んでいただきます。併せて、ソフトウェア開発者として、製品開発業務、及び中長期的な技術戦略立案、関連技術（メカや電気）とのチーム連携などから専門技術領域の深化拡大を図ります。その後、担当技術のチームリーダーとして職務遂行にあたり、製品プロジェクトを牽引するマネジメントスキルを身につけていただきます。目指すところは専門技術スペシャリスト、あるいは製品開発プロジェクトチーフです。＜チーム体制＞事業製品毎によって様々なスタイル、人数規模となりますが、メカ、電気、ソフトの各技術担当に加え、開発企画、コストエンジニアリング、取説制作、特許推進、法規制保証など、製品化を支えるエキスパートとチームを組んで製品開発を進めます。ここでは事業部門や生産、品質評価部門など、関連部門との協業連携が重要になります。＜やりがい＞イメージング技術を活用してヒト・モノの映像データを認識及び解析し、お客様や社会の課題を解決することによって、顧客ソリューション・ビジネスに携わることができます。ハードウエア技術、ソフトウェア技術、そしてサービス等を多彩に組み合わせたソリューションによって、新市場創出にチャレンジできます。＜社員の声＞他社から転職された技術者から、「机上でコーディングやデバッグに明け暮れるだけでなく、顧客と一緒に課題や困りごとの解決方法を考え、新しい価値を生み出すことに大きなやりがいを感じます」という声があり、意気揚々とご活躍されています。＜募集背景＞イメージソリューション事業本部では、「映像の中から必要な情報を探し出して、お客様が求めている価値に変換して提供する」という共通の目標をもって新事業創出や現行事業の拡大に取り組んでいます。主な事業領域は、プロフェッショナル向けの映像制作機器（シネマEOS、業務ビデオ、リモートカメラ、ディスプレイ、プロジェクタ等）、及びセキュリティ監視事業（高感度カメラ、映像解析技術）となります。今後、クラウドやAI技術を強化し、キヤノンの強みである光学・撮像・画像処理・映像解析・認識・ネットワークなどの技術と組み合わせることで顧客価値を高めるソリューション・ビジネスを展開していきます。B2CからB2Bへ、モノ売りからコト売りへ、キヤノンのビジネススタイルの進化を遂げる新たな挑戦に一緒に取り組んでくれる方のご応募をお待ちしています。<WEB説明会実施中＞・顔出し無し（ウェビナー形式）・キヤノンの会社の風土や文化、雰囲気などをまるっとお伝えします！ー◎キヤノンの会社紹介◎キャリア採用応募フローや別イベントの紹介ー・日程@2025年3月15日（土）10:00〜11:00A2025年4月9日（水）19:00〜20:00B2025年4月19日（土）9:00〜10:00実施方法：オンライン（Zoomを使用）※各自のPC/スマホからご参加ください。※途中参加・途中退出もいただけます。※どの回も内容は同じです。,求めている人材【業界不問】希望する領域における、大学卒業レベルの専門知識または実務経験がある方★第二新卒歓迎ソフトウェア開発の実務経験を有し、新たなジャンルの市場創出に向けて一緒に取り組んでいただける方◎ソフトウェア設計・高度かつ広範囲なソフトウェアの製品開発経験（システム設計／デバッグ／問題点対応等）・高度かつ広範囲なソフトウェアの要素技術開発経験（システム設計／デバッグ）・C/C++言語による組み込みソフトウェア開発経験・Javascriptによるソフトウェア開発経験、及びネットワークの知識があるとなお良い◎開発プロセス推進・製品開発プロセスの理解、プロジェクトマネジメント経験（仕様策定検討、日程・進捗管理、品質マネジメント）・品質マネジメントに関する知識
